# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.0207,0.937714,0.744402
0.0208,0.970102,0.745714
0.0209,0.880315,0.746838
0.021,0.983015,0.747996
0.0211,0.808062,0.74892
0.0212,0.944232,0.749717
0.0213,1.19476,0.75172
0.0214,1.04615,0.754029
0.0215,1.03939,0.755838
0.0216,1.13192,0.757904
0.0217,1.2804,0.760711
0.0218,0.871684,0.762686
0.0219,0.729988,0.762925
0.022,0.878492,0.763184
0.0221,1.07227,0.764513
0.0222,1.18647,0.766799
0.0223,1.07467,0.769077
0.0224,1.16316,0.771268
0.0225,0.943816,0.773036
0.0226,1.02147,0.774349
0.0227,1.1411,0.776271
0.0228,1.19224,0.778717
0.0229,0.632901,0.779555
0.023,0.908423,0.779499
0.0231,1.23426,0.781327
0.0232,1.15205,0.783907
0.0233,1.00601,0.785755
0.0234,1.06539,0.787321
0.0235,0.648774,0.787758
0.0236,0.953016,0.78784
0.0237,0.954173,0.788878
0.0238,0.696932,0.789108
0.0239,0.855127,0.789026
0.024,1.21495,0.790567
0.0241,0.856745,0.792103
0.0242,0.824857,0.792408
0.0243,1.00646,0.79318
0.0244,1.37643,0.795675
0.0245,1.04487,0.798274
0.0246,1.26934,0.800522
0.0247,0.774606,0.801909
0.0248,0.85534,0.801991
0.0249,1.11905,0.803151
0.025,1.31917,0.805756
0.0251,0.937035,0.807775
0.0252,1.36149,0.809914
0.0253,0.972916,0.812152
0.0254,1.00165,0.813249
0.0255,0.969115,0.814327
0.0256,1.05249,0.815557
0.0257,1.10899,0.817218
0.0258,0.788368,0.818042
0.0259,1.03821,0.818638
0.026,1.54712,0.821608
0.0261,1.27254,0.825292
0.0262,1.01281,0.82728
0.0263,1.16476,0.828918
0.0264,0.807821,0.829903
0.0265,0.953107,0.83022
0.0266,0.97958,0.831073
0.0267,1.07417,0.832299
0.0268,1.04038,0.833708
0.0269,1.09338,0.835169
0.027,0.952018,0.836343
0.0271,0.905254,0.836921
0.0272,0.734667,0.836815
0.0273,1.14786,0.837469
0.0274,0.976068,0.838876
0.0275,0.985431,0.839764
0.0276,0.999439,0.84072
0.0277,1.41095,0.843003
0.0278,0.823706,0.844722
0.0279,0.883229,0.844776
0.028,1.14916,0.84585
0.0281,1.17864,0.847842
0.0282,0.969424,0.849259
0.0283,1.01084,0.850141
0.0284,1.04667,0.85126
0.0285,1.07886,0.852585
0.0286,1.1482,0.854219
0.0287,0.74365,0.854794
0.0288,0.737702,0.854079
0.0289,0.955665,0.854033
0.029,1.14539,0.855263
0.0291,1.06659,0.856834
0.0292,1.2926,0.858855
0.0293,1.08315,0.860916
0.0294,0.89138,0.861708
0.0295,1.02666,0.862317
0.0296,0.819576,0.862698
0.0297,0.754954,0.862225
0.0298,0.870578,0.861916
0.0299,0.612171,0.861161
0.03,1.26717,0.861652
0.0301,0.67727,0.862345
0.0302,1.04815,0.862347
0.0303,1.27552,0.864223
0.0304,1.14354,0.866386
0.0305,1.00312,0.867682
0.0306,1.07886,0.868768
0.0307,1.09381,0.87013
