# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.0192,0.960294,0.339452
0.0193,0.968583,0.358784
0.0194,0.975917,0.37776
0.0195,0.982287,0.396362
0.0196,0.987688,0.414569
0.0197,0.992115,0.432366
0.0198,0.995562,0.449734
0.0199,0.998027,0.466656
0.02,0.999507,0.483115
0.0201,1,0.499096
0.0202,0.999507,0.514583
0.0203,0.998027,0.52956
0.0204,0.995562,0.544013
0.0205,0.992115,0.557927
0.0206,0.987688,0.571289
0.0207,0.982287,0.584086
0.0208,0.975917,0.596305
0.0209,0.968583,0.607934
0.021,0.960294,0.618961
0.0211,0.951057,0.629377
0.0212,0.940881,0.63917
0.0213,0.929777,0.648331
0.0214,0.917755,0.656851
0.0215,0.904827,0.664721
0.0216,0.891007,0.671934
0.0217,0.876307,0.678483
0.0218,0.860742,0.684362
0.0219,0.844328,0.689564
0.022,0.827081,0.694084
0.0221,0.809017,0.697919
0.0222,0.790155,0.701064
0.0223,0.770513,0.703516
0.0224,0.750111,0.705273
0.0225,0.728969,0.706333
0.0226,0.707107,0.706695
0.0227,0.684547,0.706359
0.0228,0.661312,0.705325
0.0229,0.637424,0.703594
0.023,0.612907,0.701168
0.0231,0.587785,0.698049
0.0232,0.562083,0.694241
0.0233,0.535827,0.689747
0.0234,0.509042,0.684571
0.0235,0.481754,0.67872
0.0236,0.453991,0.672198
0.0237,0.425779,0.665012
0.0238,0.397148,0.657169
0.0239,0.368125,0.648677
0.024,0.338738,0.639544
0.0241,0.309017,0.62978
0.0242,0.278991,0.619393
0.0243,0.24869,0.608395
0.0244,0.218143,0.596796
0.0245,0.187381,0.584608
0.0246,0.156435,0.571842
0.0247,0.125333,0.558511
0.0248,0.0941084,0.544629
0.0249,0.0627906,0.530209
0.025,0.0314108,0.515265
0.0251,1.94707e-07,0.499812
0.0252,-0.0314106,0.483866
0.0253,-0.0627903,0.467442
0.0254,-0.0941083,0.450556
0.0255,-0.125333,0.433225
0.0256,-0.156434,0.415466
0.0257,-0.187381,0.397297
0.0258,-0.218143,0.378736
0.0259,-0.24869,0.359801
0.026,-0.278991,0.34051
0.0261,-0.309017,0.320883
0.0262,-0.338738,0.300939
0.0263,-0.368124,0.280697
0.0264,-0.397148,0.260179
0.0265,-0.425779,0.239403
0.0266,-0.45399,0.218391
0.0267,-0.481754,0.197163
0.0268,-0.509041,0.17574
0.0269,-0.535827,0.154144
0.027,-0.562083,0.132395
0.0271,-0.587785,0.110516
0.0272,-0.612907,0.088527
0.0273,-0.637424,0.0664506
0.0274,-0.661312,0.0443085
0.0275,-0.684547,0.0221225
0.0276,-0.707107,-8.55531e-05
0.0277,-0.728969,-0.0222937
0.0278,-0.750111,-0.0444799
0.0279,-0.770513,-0.0666225
0.028,-0.790155,-0.0886994
0.0281,-0.809017,-0.110689
0.0282,-0.82708,-0.132569
0.0283,-0.844328,-0.154319
0.0284,-0.860742,-0.175917
0.0285,-0.876307,-0.197341
0.0286,-0.891006,-0.21857
0.0287,-0.904827,-0.239584
0.0288,-0.917755,-0.260362
0.0289,-0.929776,-0.280883
0.029,-0.940881,-0.301127
0.0291,-0.951056,-0.321073
0.0292,-0.960294,-0.340703
0.0293,-0.968583,-0.359997
0.0294,-0.975917,-0.378935
0.0295,-0.982287,-0.3975
0.0296,-0.987688,-0.415673
0.0297,-0.992115,-0.433435
0.0298,-0.995562,-0.45077
0.0299,-0.998027,-0.46766
0.03,-0.999507,-0.484088
0.0301,-1,-0.500039
0.0302,-0.999507,-0.515496
0.0303,-0.998027,-0.530445
0.0304,-0.995562,-0.544871
0.0305,-0.992115,-0.558758
0.0306,-0.987688,-0.572095
0.0307,-0.982287,-0.584867
0.0308,-0.975917,-0.597061
0.0309,-0.968583,-0.608667
0.031,-0.960294,-0.619672
0.0311,-0.951057,-0.630065
