# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.0192,0.844328,0.472642
0.0193,0.876307,0.487566
0.0194,0.904827,0.50048
0.0195,0.929776,0.511343
0.0196,0.951056,0.520126
0.0197,0.968583,0.526809
0.0198,0.982287,0.531377
0.0199,0.992115,0.533826
0.02,0.998027,0.534159
0.0201,1,0.532389
0.0202,0.998027,0.528535
0.0203,0.992115,0.522626
0.0204,0.982287,0.514698
0.0205,0.968583,0.504794
0.0206,0.951057,0.492967
0.0207,0.929777,0.479275
0.0208,0.904827,0.463782
0.0209,0.876307,0.446562
0.021,0.844328,0.427693
0.0211,0.809017,0.407259
0.0212,0.770513,0.385351
0.0213,0.728969,0.362064
0.0214,0.684547,0.337498
0.0215,0.637424,0.311758
0.0216,0.587786,0.284953
0.0217,0.535827,0.257195
0.0218,0.481754,0.228598
0.0219,0.42578,0.199281
0.022,0.368125,0.169364
0.0221,0.309017,0.138968
0.0222,0.24869,0.108215
0.0223,0.187382,0.0772287
0.0224,0.125334,0.0461329
0.0225,0.0627907,0.0150499
0.0226,1.94707e-07,-0.0158976
0.0227,-0.0627903,-0.0465888
0.0228,-0.125333,-0.0769046
0.0229,-0.187381,-0.106728
0.023,-0.24869,-0.135945
0.0231,-0.309017,-0.164444
0.0232,-0.368124,-0.192118
0.0233,-0.425779,-0.218863
0.0234,-0.481753,-0.244579
0.0235,-0.535827,-0.269172
0.0236,-0.587785,-0.292553
0.0237,-0.637424,-0.314636
0.0238,-0.684547,-0.335343
0.0239,-0.728969,-0.354601
0.024,-0.770513,-0.372343
0.0241,-0.809017,-0.388509
0.0242,-0.844328,-0.403046
0.0243,-0.876307,-0.415906
0.0244,-0.904827,-0.42705
0.0245,-0.929776,-0.436443
0.0246,-0.951056,-0.444061
0.0247,-0.968583,-0.449884
0.0248,-0.982287,-0.453901
0.0249,-0.992115,-0.456106
0.025,-0.998027,-0.456504
0.0251,-1,-0.455103
0.0252,-0.998027,-0.45192
0.0253,-0.992115,-0.446979
0.0254,-0.982287,-0.440311
0.0255,-0.968583,-0.431952
0.0256,-0.951057,-0.421947
0.0257,-0.929777,-0.410343
0.0258,-0.904827,-0.397198
0.0259,-0.876307,-0.382573
0.026,-0.844328,-0.366534
